CFOP;Tipo;Categoria;Descrição Resumida do CFOP;Aplicação;Início da Vigência;Fim da Vigência;Válido para NFe (indNFe);Válido para Serviços de Comunicação (indComunica);Válido para Retenção de ICMS de Transporte (indTransp);Válido para Devolução (indDevol);Válido para Retorno de Mercadorias (indRetor);Válido para Anulação de Valor (indAnula);Válido para Remessa de Mercadorias (indRemes);Válido para Operações com Combustível (indComb);Válido para NFCe;Válido para CTe;Válido para CTe OS
1.101;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.100 - Compras para Industrialização, Produção Rural, Comercialização ou Prestação de Serviços;1.101 - Compra p/ industrialização ou produção rural;Compra de mercadoria a ser utilizada em processo de industrialização ou produção rural, bem como a entrada de mercadoria em estabelecimento industrial ou produtor rural de cooperativa recebida de seus cooperados ou de estabelecimento de outra cooperativa.,(DECRETO Nº 28.868, DE 31/01/2006-– Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005).;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.102;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.100 - Compras para Industrialização, Produção Rural, Comercialização ou Prestação de Serviços;1.102 - Compra p/ comercialização;Classificam-se neste código as compras de mercadorias a serem comercializadas. Também serão classificadas neste código as entradas de mercadorias em estabelecimento comercial de cooperativa recebidas de seus cooperados ou de estabelecimento de outra cooperativa.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.111;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.100 - Compras para Industrialização, Produção Rural, Comercialização ou Prestação de Serviços;1.111 - Compra p/ industrialização de mercadoria recebida anteriormente em consignação industrial;Classificam-se neste código as compras efetivas de mercadorias a serem utilizadas em processo de industrialização, recebidas anteriormente a título de consignação industrial.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.113;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.100 - Compras para Industrialização, Produção Rural, Comercialização ou Prestação de Serviços;1.113 - Compra p/ comercialização, de mercadoria recebida anteriormente em consignação mercantil;Classificam-se neste código as compras efetivas de mercadorias recebidas anteriormente a título de consignação mercantil.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.116;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.100 - Compras para Industrialização, Produção Rural, Comercialização ou Prestação de Serviços;1.116 - Compra p/ industrialização ou produção rural originada de encomenda p/ recebimento futuro;Compra de mercadoria, a ser utilizada em processo de industrialização ou produção rural, quando da entrada real da mercadoria, cuja aquisição tenha sido classificada no código “1.922 – Lançamento efetuado a título de simples faturamento decorrente de compra para recebimento futuro”.,(DECRETO Nº 28.868, DE 31/01/2006-– Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005).;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.117;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.100 - Compras para Industrialização, Produção Rural, Comercialização ou Prestação de Serviços;1.117 - Compra p/ comercialização originada de encomenda p/ recebimento futuro;Classificam-se neste código as compras de mercadorias a serem comercializadas, quando da entrada real da mercadoria, cuja aquisição tenha sido classificada no código 1.922 - Lançamento efetuado a título de simples faturamento decorrente de compra para recebimento futuro.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.118;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.100 - Compras para Industrialização, Produção Rural, Comercialização ou Prestação de Serviços;1.118 - Compra de mercadoria p/ comercialização pelo adquirente originário, entregue pelo vendedor remetente ao destinatário, em venda à ordem.;Classificam-se neste código as compras de mercadorias já comercializadas, que, sem transitar pelo estabelecimento do adquirente originário, sejam entregues pelo vendedor remetente diretamente ao destinatário, em operação de venda à ordem, cuja venda seja classificada, pelo adquirente originário, no código 5.120 - Venda de mercadoria adquirida ou recebida de terceiros entregue ao destinatário pelo vendedor remetente, em venda à ordem.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.120;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.100 - Compras para Industrialização, Produção Rural, Comercialização ou Prestação de Serviços;1.120 - Compra p/ industrialização, em venda à ordem, já recebida do vendedor remetente;Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização, em vendas à ordem, já recebidas do vendedor remetente, por ordem do adquirente originário.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.121;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.100 - Compras para Industrialização, Produção Rural, Comercialização ou Prestação de Serviços;1.121 - Compra p/ comercialização, em venda à ordem, já recebida do vendedor remetente;Classificam-se neste código as compras de mercadorias a serem comercializadas, em vendas à ordem, já recebidas do vendedor remetente por ordem do adquirente originário.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.122;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.100 - Compras para Industrialização, Produção Rural, Comercialização ou Prestação de Serviços;1.122 - Compra p/ industrialização em que a mercadoria foi remetida pelo fornecedor ao industrializador sem transitar pelo estabelecimento adquirente;Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização, remetidas pelo fornecedor para o industrializador sem que a mercadoria tenha transitado pelo estabelecimento do adquirente.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
